index	username	time	comment	star
0	林冠佑		None	5
1	Cian Wun Chen		"去了三次都公休...
是一間很容易公休的飲料店.."	4
2	Kiam Hsu	20200807	葡萄柚綠新鮮好喝，不過應該是生意太好我們點了三杯也收了錢結果只給我們一杯，反應後補的兩杯也沒有先給我們結果又多等了20分鐘☹️	2
3	Ling C.	20200807	"平常不特別愛喝含糖飲料
但他們家的招牌葡萄柚果粒茶 
真的是酷暑下的聖品啊！"	4
4	陳有德	20200807	None	4
5	Camilla Jian	20200807	"香吉士百香果綠茶，幹嘛要加梅子
喝兩口還發現還有葡萄柚果肉！？
不曉得大家知不知道有在定時服藥的人不能吃葡萄柚
（知道的人請按讚！，也注意身旁的家人）
（因為我爸爸有在服用慢性病的藥）
（以前有天我就問他要不要喝葡萄柚綠茶）
（他就說他不能喝。之後我就會特別注意）

飲料單品項也沒有標示是有加了葡萄柚。
雖然看飲料名是知道是香吉士＋百香果＋綠茶

覺得只是又酸又甜的水果茶。
而且納悶，為何要加梅子…
（第一次經過看名字以為是豆干店…）

然後覺得冷泡的金萱茶很特別
吸得到茶葉……"	2
6	陳薏茹	20200806	None	5
7	Amber Chou	20200806	None	5
8	libra fan	20200806	嘉義最具人氣的手搖杯店，打趴其他手搖杯店，凍頂檸檬、葡萄柚綠茶、香吉士百香綠茶都是必喝品項，可以喝到滿滿的果肉！	5
9	後山粉鳥	20200805	None	5
0	Chang Sheng	20200804	人氣名店	3
1	HSUAN	20200804	料紮實，但實在等待時間過久，建議提前一個小時電話預約比較不用等 😭😭😭	4
2	鄭惇仁	20200804	好喝!但人潮太洶湧@@	5
3	李清安	20200804	口味不錯!	3
4	施孟君	20200803	None	5
5	Stella	20200803	來嘉義就是要喝御香屋 可以打電話預訂	5
6	EN Distiny	20200802	葡萄柚綠茶：味道蠻微妙的，很順口又有多果粒/凍頂檸檬：覺得還好，不太喜歡檸檬果粒突出的酸澀感	3
7	陳珮嘉	20200802	"先打電話預訂再拿
大推凍頂檸檬"	5
8	jane tabo	20200802	普普通通不懂從早排到晚是在排什麼,葡萄柚綠超酸	3
9	michelle chen	20200802	"好喝～來嘉義必買
要等半小時左右"	5
0	Eric Ke	20200802	None	4
1	嘻嘻哈哈	20200802	None	5
2	33 Wang	20200802	當天葡萄柚綠賣完（可以提早打電話預定喔），但香吉士百香綠茶也好喝，現場也是滿滿的人～～	5
3	En Jie Chen	20200802	"一開門馬上打電話預定的御香屋
當天沒有葡萄柚綠了，所以點了百香綠
之前還沒有爆紅時就知道這間圓環飲料店，葡萄柚綠是加了梅子做出和一般葡萄柚綠的區隔
相較之下百香綠就比較普通，不是我的菜哈哈"	3
4	李志旻	20200802	2020731。20：00 去不用排隊，招牌第一名飲品已經銷售完畢，我們點了香吉士綠茶加一顆梅子，真的棒！	4
5	劉小啾	20200801	"(由 Google 提供翻譯) 超多人超忙的店@@！

(原始評論)
超多人超忙的店@@！"	5
6	Astro Huang	20200801	None	4
7	KEMING LIANG	20200801	二店電話相較好打，推薦電話預約再自取，較不浪費時間排隊。	4
8	林沛雯	20200801	"排了整整一個小時
現場人潮很多 打電話的也非常多
這次點了葡萄柚綠茶跟凍頂檸檬
葡萄柚綠茶的果粒非常多 但尾韻有苦味（應該是葡萄柚原本的味道）
凍頂檸檬很解渴 連我不喜歡檸檬都覺得OK"	4
9	楊沐穎	20200801	None	5
0	金城武	20200801	很好喝，終於開分店了	4
1	林廷龍	20200801	None	5
2	呂小飛	20200801	招牌葡萄柚好喝，菊花茶很解渴，最好先打電話，不然還沒到營業時間就排一堆人	4
3	王子揚	20200801	中正二店讚	5
4	顧廉中	20200801	現在有二店 比較不用等那麼久！	5
5	ya-chia hsueh	20200801	"生意極好
可先電話預約"	5
6	weijl	20200801	None	3
7	溫俊為	20200801	排隊買涼我站不下去，不過我也是站了	4
8	CH Hsu	20200801	不錯喝，可電話預約，取餐時小心違停被告發！	5
9	張耀中	20200801	None	4
0	游子玟	20200801	飲料好喝	5
1	Hank Lee	20200801	"#推薦指數★★★★
#環境評比★★★
#服務態度★★★☆
#美味鮮度★★★★
#價格等級★★★★
#交通便利★★

號稱來嘉義必喝的飲料店，網路推薦首選「御香居」，凡是來嘉義都要點一杯，真的不誇張，去的時候已經一堆人排隊了，身為美食不負責任評點家一定要點評一番，這裡非常不好停車，基本上開車來的只能停紅線🤣，不然根本沒有位置可以停，因為來的時候已經偏晚了，本來要喝大家狂推的紅鑽葡萄柚綠茶，但是已經售完，只好點第二名的香吉士百香綠茶了，味道是還不錯，因為基底應該差不多，我大概可以「推測」出紅鑽是什麼口感跟味道，跟我們的金鑽葡萄柚綠茶相比，大概只差在葡萄柚果粒多少跟茶味的比重而已，基本上是好喝的，有經過的話是可以來一杯的"	4
2	辛西亞	20200801	"沒有到很驚艷需要排隊的地步
麻古就可以買到類似的飲料"	3
3	Chihao Chen	20200801	None	5
4	Michael Hsu	20200801	不錯喝	4
5	林威志	20200801	"人超多，不過排隊速度算快，大約等20-30多分
終於喝到招牌，葡萄柚綠茶，料很多，固定中杯的，價格偏貴，喝起來不錯，稍微偏酸！！"	4
6	Joanne Chen	20200801	不排隊可以來喝一杯的葡萄柚綠~算好喝,但不到驚豔, 葡萄柚濃郁但酸澀感較其他家順口, 梅子選用的味道也不錯, 但我個人偏愛亀記茶感重的葡萄柚綠茶~而且這邊中杯60的價格真的小貴, 倒是凍頂檸檬味道蠻驚豔的, 而且大杯才50, 今天有買金萱, 是有水準的, 但實在不愛整杯茶葉飄浮在杯裡的阿雜感, 整體而言算上排隊的時間跟價格, 只有三顆星~ 所以若不用排隊再買吧!	4
7	TPE營業部圓圓	20200801	"還蠻好喝的
凍頂檸檬 茶味很香檸檬微酸 我是喝半糖少冰
不會太甜
如看不用排很久的話還會再去買
但沒有好喝到一定要排到"	5
8	檸檬遇上咖啡	20200801	排隊人潮非常多，嚐鮮嚐鮮。	4
9	陳柏彥	20200801	點了葡萄柚綠茶半糖少冰，好喝	5
0	謝林晏	20200801	None	3
1	KuanHsun Chiang	20200801	"店員太忙態度不好。
喝起來料很多，但是味道還好。"	3
2	莊峻臣	20200801	None	4
3	吳明胡Wu Ming Hu	20200801	"(由 Google 提供翻譯) 普普通通，排超久，不值得

(原始評論)
普普通通，排超久，不值得"	3
4	sleeping Yen	20200801	None	5
5	李小雪	20200725	來嘉義必喝的飲料店~葡萄柚綠茶+梅子好清爽，好喝！可以電話預定也可以現場排隊	5
6	haozhu dai	20200725	None	4
7	鄭仲軒	20200725	None	5
8	蔡景如	20200725	"第一次體驗，覺得很棒!很讚。我們由店員推薦香橙百香綠茶，真的好好喝，我家孩子也偷喝一直跟我要來喝!!!!原以為要大排長龍，結果非常之快速(可能是非假日)
推~"	5
9	Yu	20200725	None	5
0	田書如	20200725	"在圓環旁邊停車不太方便
排隊非常多人
葡萄柚果肉很多還不錯
整體偏酸"	4
1	Christine Yeh	20200725	特色飲品真的好喝，服務人員即便忙碌也很有禮貌耐心，服務熱忱！	5
2	林琬倫	20200725	None	5
3	WANG CHRIS	20200725	None	4
4	YuShu Xu	20200725	None	4
5	陳威瑜	20200725	每次回嘉義都會來喝	5
